codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0903,9348,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Biologia Celular e Molecular,L1,70,71,169.4,0
0903,9359,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,60,61,178.6,0
0903,9360,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,60,60,126.6,0
0903,9363,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Materiais,MI,33,33,146.6,0
0903,9367,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,171,172,142.2,0
0903,9368,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,30,30,175.2,0
0903,9369,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,80,81,163.8,0
0903,9370,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Química e Bioquímica,Mi,75,75,147.4,0
0903,9508,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,62,62,136.0,0
0903,9509,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,MI,60,60,165.6,0
0903,G005,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,MI,175,176,165.0,0
0903,L167,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Gestão do Risco,L1,24,24,171.4,0
0904,9081,Universidade Nova de Lisboa - Faculdade de Economia,Economia,L1,254,263,176.5,0
0904,9147,Universidade Nova de Lisboa - Faculdade de Economia,Gestão,L1,275,289,182.0,0
0906,8259,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,L1,47,49,159.8,0
0906,9155,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,L1,70,70,167.9,0
0911,9078,Universidade Nova de Lisboa - Faculdade de Direito,Direito,L1,100,102,173.2,0
1000,8183,Universidade do Minho,Geografia e Planeamento,L1,47,48,135.0,0
1000,8184,Universidade do Minho,Optometria e Ciências da Visão,L1,39,39,115.4,0
1000,8358,Universidade do Minho,Direito (regime pós-laboral),L1,17,18,168.0,0
1000,8427,Universidade do Minho,Educação (regime pós-laboral),L1,23,25,129.2,0
1000,8494,Universidade do Minho,Design de Produto,L1,35,36,157.0,0
1000,9002,Universidade do Minho,Administração Pública,L1,47,47,154.4,0
1000,9006,Universidade do Minho,Arqueologia,L1,22,22,133.8,0
1000,9012,Universidade do Minho,Biologia e Geologia,L1,53,54,128.2,0
1000,9015,Universidade do Minho,Bioquímica,L1,71,71,154.4,0
1000,9019,Universidade do Minho,Ciência Política,L1,35,35,159.4,0
1000,9023,Universidade do Minho,Ciências da Comunicação,L1,69,69,164.8,0
1000,9078,Universidade do Minho,Direito,L1,112,114,175.6,0
1000,9081,Universidade do Minho,Economia,L1,94,94,171.8,0
1000,9134,Universidade do Minho,Estudos Culturais,L1,22,22,143.2,0
1000,9139,Universidade do Minho,Filosofia,L1,27,28,126.4,0
1000,9141,Universidade do Minho,Física,L1,27,27,137.2,0
1000,9146,Universidade do Minho,Geologia,L1,26,14,110.0,12
1000,9147,Universidade do Minho,Gestão,L1,93,94,176.4,0
1000,9181,Universidade do Minho,História,L1,38,38,156.6,0
1000,9192,Universidade do Minho,Línguas Aplicadas,L1,55,58,163.6,0
1000,9195,Universidade do Minho,Línguas e Literaturas Europeias,L1,64,66,151.0,0
1000,9205,Universidade do Minho,Marketing,L1,51,54,159.6,0
1000,9209,Universidade do Minho,Matemática,L1,32,34,152.2,0
1000,9223,Universidade do Minho,Química,L1,28,15,132.0,13
1000,9229,Universidade do Minho,Relações Internacionais,L1,67,67,168.4,0
1000,9240,Universidade do Minho,Sociologia,L1,65,68,145.0,0
1000,9243,Universidade do Minho,Teatro,L1,26,26,139.0,0
1000,9257,Universidade do Minho,Arquitetura,MI,59,59,167.8,0
1000,9353,Universidade do Minho,Educação,L1,55,55,141.2,0
1000,9358,Universidade do Minho,Engenharia Biológica,MI,47,47,149.4,0
1000,9359,Universidade do Minho,Engenharia Biomédica,MI,68,68,180.0,0
1000,9360,Universidade do Minho,Engenharia Civil,MI,45,45,111.2,0
1000,9363,Universidade do Minho,Engenharia de Materiais,MI,29,29,154.6,0
1000,9364,Universidade do Minho,Engenharia de Polímeros,MI,34,34,132.8,0
1000,9366,Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,MI,94,94,146.2,0
1000,9368,Universidade do Minho,Engenharia Física,MI,37,37,174.4,0
1000,9369,Universidade do Minho,Engenharia Mecânica,MI,87,87,170.8,0
1000,9371,Universidade do Minho,Engenharia Têxtil,MI,31,21,127.4,10
1000,9379,Universidade do Minho,Ciências do Ambiente,L1,40,40,130.2,0
1000,9381,Universidade do Minho,Estatística Aplicada,L1,23,23,134.0,0
1000,9397,Universidade do Minho,Ciências da Computação,L1,77,78,144.8,0
1000,9499,Universidade do Minho,Design e Marketing de Moda,L1,33,34,161.2,0
1000,9509,Universidade do Minho,Engenharia e Gestão Industrial,MI,59,59,181.6,0
1000,9555,Universidade do Minho,Psicologia,MI,71,72,164.4,0
1000,9688,Universidade do Minho,Biologia Aplicada,L1,59,60,147.4,0
1000,9785,Universidade do Minho,Negócios Internacionais,L1,33,34,164.0,0
1000,9813,Universidade do Minho,Medicina,MI,120,121,187.8,0
1000,9817,Universidade do Minho,Artes Visuais,L1,26,26,158.0,0
1000,9853,Universidade do Minho,Educação Básica,L1,53,53,132.6,0
1000,9869,Universidade do Minho,Contabilidade (regime pós-laboral),L1,41,42,146.6,0
1000,9917,Universidade do Minho,Estudos Portugueses,L1,35,37,125.6,0
1000,G001,Universidade do Minho,Engenharia e Gestão de Sistemas de Informação,MI,150,151,145.2,0
1000,G005,Universidade do Minho,Engenharia Informática,MI,181,181,171.8,0
1000,G007,Universidade do Minho,Engenharia de Telecomunicações e Informática,MI,43,43,123.8,0
1000,L078,Universidade do Minho,Criminologia e Justiça Criminal,L1,35,36,167.2,0
1000,L112,Universidade do Minho,Proteção Civil e Gestão do Território,L1,35,20,117.8,15
