;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ids;Código Curso;Nome do Curso;Vagas Iniciais;Colocados ;Vagas;Ano;Código Instit.;
435;L145;Estudos de Cultura e Comunicação;56;57;57;2018;1506;
436;9554;Ciências da Nutrição;30;30;30;2018;1507;
437;9813;Medicina;295;295;295;2018;1507;
438;9548;Medicina Dentária;65;65;65;2018;1508;
439;9556;Higiene Oral;42;43;43;2018;1508;
440;9791;Prótese Dentária;30;30;30;2018;1508;
441;9847;Medicina Veterinária;109;109;109;2018;1509;
442;9068;Dança;19;12;19;2018;1510;
443;9162;Gestão do Desporto;31;32;32;2018;1510;
444;9707;Ciências do Desporto;140;141;141;2018;1510;
445;9753;Ergonomia;20;20;20;2018;1510;
446;9841;Reabilitação Psicomotora;52;55;55;2018;1510;
447;9555;Psicologia;137;137;137;2018;1511;
448;L040;Educação e Formação;72;74;74;2018;1513;
449;8411;Planeamento e Gestão do Território;43;44;44;2018;1514;
450;9143;Geografia;99;100;100;2018;1514;
451;8258;Arquitetura Paisagista;20;21;21;2018;1515;
452;8377;Engenharia Florestal e dos Recursos Naturais;20;10;20;2018;1515;
453;9011;Biologia;40;40;40;2018;1515;
454;9086;Engenharia Agronómica;60;60;60;2018;1515;
455;9087;Engenharia Alimentar;40;20;40;2018;1515;
456;9099;Engenharia do Ambiente;22;20;22;2018;1515;
457;9129;Engenharia Zootécnica;30;22;30;2018;1515;
458;8014;Serviço Social (regime pós-laboral);37;37;37;2018;1516;
459;8102;Administração Pública (regime pós-laboral);46;48;48;2018;1516;
460;8109;Sociologia (regime pós-laboral);35;36;36;2018;1516;
461;8111;Gestão de Recursos Humanos (regime pós-laboral);55;59;59;2018;1516;
462;8363;Administração Pública e Políticas do Território (regime pós-laboral);35;35;35;2018;1516;
463;8364;Relações Internacionais (regime pós-laboral);55;55;55;2018;1516;
464;9002;Administração Pública;80;82;82;2018;1516;
465;9019;Ciência Política;53;55;55;2018;1516;
466;9023;Ciências da Comunicação;58;61;61;2018;1516;
467;9157;Gestão de Recursos Humanos;70;70;70;2018;1516;
468;9229;Relações Internacionais;80;80;80;2018;1516;
469;9238;Serviço Social;54;54;54;2018;1516;
470;9240;Sociologia;55;57;57;2018;1516;
471;9448;Antropologia;47;47;47;2018;1516;
472;9081;Economia;138;138;138;2018;1517;
473;9140;Finanças;34;34;34;2018;1517;
474;9147;Gestão;168;168;168;2018;1517;
475;9210;Matemática Aplicada à Economia e à Gestão;38;38;38;2018;1517;
476;A001;Gestão (ensino em Inglês);29;29;29;2018;1517;
